Base;K;Hopkins;ISM;ICH;ICS;only.ics
2-FACE;5;0.721618221279898;0.340614666477673;177.976148377807;29.11375;1
BROKEN-RING;16;0.717472773569313;0.048178915073399;167.456067512782;16.99675;1
BUPA;4;0.818292860165205;0.160233540200964;68.4449488741998;131.493719806763;1
FORESTFIRES;4;0.905501527029105;0.173329031707197;76.2181739264204;241.802707930368;1
GAUSS9;8;0.607748180470016;0.0956246454734393;383.575790638763;42.175;1
UNIFORM700;6;0.495029213714427;-0.0793994477050936;74.3263240477879;34.6296428571429;1
VOWEL2;8;0.775192265780596;0.23443278782528;250.640742128162;34.0606060606061;1
2-FACE;5;0.721618221279898;0.340614666477673;177.976148377807;29.11375;0
BROKEN-RING;16;0.717472773569313;0.048178915073399;167.456067512782;16.99675;0
BUPA;4;0.818292860165205;0.202255074425528;49.2605231905041;108.054658385093;0
FORESTFIRES;5;0.905501527029105;0.15199107131971;65.9045927401758;184.381320806853;0
GAUSS9;8;0.607748180470016;0.0956246454734393;383.575790638763;42.175;0
UNIFORM700;6;0.495029213714427;-0.0793994477050936;74.3263240477879;34.6296428571429;0
VOWEL2;8;0.775192265780596;0.23443278782528;250.640742128162;34.0606060606061;0
