Base;Algo;ICS;clust_tendency;grid_type
FLAME;ASGBRKGA;159.147196261682;0.864244769732974;ASG
HABERMAN;ASGBRKGA;253.442067736185;0.853183152632809;ASG
IRIS;ASGBRKGA;253.558663558664;0.70061444089081;ASG
IONOSPHERE;ASGBRKGA;97.0492307692308;0.778387816114066;ASG
JAIN;ASGBRKGA;179.254021447721;0.759365929410212;ASG
NEW-THYROID;ASGBRKGA;198.457142857143;0.909695971853365;ASG
PATHBASED;ASGBRKGA;241.7375;0.770528751564765;ASG
PIMA.INDIANS;ASGBRKGA;689.904761904762;0.832187002362316;ASG
R15;ASGBRKGA;185.48;0.91209387094178;ASG
SEEDS;ASGBRKGA;112.464285714286;0.691927193163492;ASG
SPIRAL;ASGBRKGA;195.3125;0.720521795877667;ASG
WDBC;ASGBRKGA;539.571958601836;0.856890639242855;ASG
WINE;ASGBRKGA;67.6367041198502;0.736655129973984;ASG
YEAST;ASGBRKGA;1447.70050913447;0.934796514773332;ASG
