Base;minK;medK;maxK;CVk;minIS;medIS;maxIS;CVIS;minEXEC;medEXEC;maxEXEC;CVEXEC
2-FACE;5;5;5;0;0.342126208409727;0.342126208409727;0.342126208409727;0;17.58;20.158;21.99;0.0562399176205479
BROKEN-RING;16;16;17;0.0311082999695375;0.0376374468960483;0.041854034166989;0.0481789150734001;0.130061315897907;51.99;52.901;55.01;0.0188007636213434
BUPA;4;4;4;0;0.335719812399497;0.335719812399497;0.335719812399497;0;14.03;16.999;19;0.115578842724462
FORESTFIRES;5;5;5;0;0.208361438289541;0.208361438289541;0.208361438289541;0;13.77;16.223;19.01;0.125339504794666
GAUSS9;8;8;9;0.0355312096648132;0.095624645473439;0.197034757961992;0.208302548238498;0.180840587921703;21.31;22.027;23.56;0.0328004922897697
UNIFORM700;7;7;7;0;0.0177193262512149;0.0177193262512149;0.0177193262512149;0;20.42;20.729;21.09;0.0105089686185814
VOWEL2;8;8;8;0;0.23443278782528;0.23443278782528;0.23443278782528;0;16.58;16.834;17.54;0.0170248836125057
