Base;minK;medK;maxK;CVk;minIS;medIS;maxIS;CVIS;minEXEC;medEXEC;maxEXEC;CVEXEC
2-FACE;5;5;5;0;0.340614666477673;0.340614666477673;0.340614666477673;0;32.93;35.893;38;0.0363146106361853
BROKEN-RING;15;15;16;0.0198885387431974;0.048178915073399;0.0495129994726696;0.0615197590661045;0.0852048015172478;95;96.201;97;0.0065707423024102
BUPA;4;4;4;0;0.202255074425528;0.202255074425528;0.202255074425528;0;29;29.799;31;0.0264144725178368
FORESTFIRES;5;5;5;0;0.15199107131971;0.15199107131971;0.15199107131971;0;31;31.601;32;0.0163005877636696
GAUSS9;7;7;8;0.0661706700739244;0.0956246454734393;0.131709895729066;0.147175002981477;0.189060877042077;43;43.701;45.01;0.0188790030556986
UNIFORM700;6;6;6;0;-0.0793994477050936;-0.0793994477050936;-0.0793994477050936;0;40.72;41.871;43;0.0148340896401393
VOWEL2;8;8;8;0;0.23443278782528;0.23443278782528;0.23443278782528;0;30.41;30.756;31.88;0.013504679393029
