Base;minK;medK;maxK;CVk;minIS;medIS;maxIS;CVIS;minEXEC;medEXEC;maxEXEC;CVEXEC
2-FACE;5;5;5;0;0.291434102832229;0.291434102832229;0.291434102832229;0;31.92;32.024;32.39;0.00457563825815354
BROKEN-RING;16;16;16;0;0.048178915073399;0.048178915073399;0.048178915073399;0;93.46;93.707;93.89;0.0015308721659196
BUPA;4;4;4;0;0.188501725588013;0.188501725588013;0.188501725588013;0;25.94;26.117;26.17;0.0025078719445285
FORESTFIRES;5;5;5;0;0.141530659420204;0.141530659420204;0.141530659420204;0;27.16;27.341;27.38;0.00237315799678261
GAUSS9;7;7;8;0.0585606974105255;0.0956246454734393;0.13686493147987;0.147175002981477;0.15881014190046;39.61;39.748;39.98;0.00330759579680957
UNIFORM700;6;6;7;0.0518406173798095;-0.0793994477050936;-0.0696875703094628;0.0177193262512151;-0.440704888836216;37.96;38.071;38.24;0.00254198209830463
VOWEL2;8;8;8;0;0.23443278782528;0.23443278782528;0.23443278782528;0;30.69;30.761;30.93;0.00214792597496547
