grid.algo;p;iter;Mean_ISM;Mean_T
ASGBRKGA;200;300;0.250120770237743;70.952380952381
ASGBRKGA;300;300;0.243994205841129;102.858095238095
ASGBRKGA;300;500;0.232553068987509;153.238095238095
ASGBRKGA;100;300;0.22047526367687;45.3333333333333
ASGBRKGA;100;500;0.210256627355876;61.142380952381
ASGBRKGA;200;200;0.203760497923426;51.2280952380952
ASGBRKGA;100;200;0.199186897131034;29.0761904761905
ASGBRKGA;200;500;0.197058654410874;106.332857142857
ASGBRKGA;300;200;0.186623703453721;69.7252380952381
