Base;Algo;K;ISM;ICH;Rand;ICS
AGGREGATION;ASGBRKGA;6;0.0660529470069453;251.25670743673;0.399579968315961;290.110779337116
COMPOUND;ASGBRKGA;4;0.248657517768008;129.02907803614;0.348735995191138;145.55980861244
GLASS;ASGBRKGA;3;0.156397828536946;4302.9980985086;0.0450729024200302;302.475
ECOLI;ASGBRKGA;2;0.225946301746262;50.0198898405002;0.0493759964156224;110.3375
FLAME;ASGBRKGA;3;0.480421221969117;30.7852660026156;0.0824353302193672;159.147196261682
HABERMAN;ASGBRKGA;2;0.446369794605291;78.0237405889647;0.0866057780655422;253.442067736185
IRIS;ASGBRKGA;2;0.182826394092163;3359.73030355693;-0.0107714686423049;253.558663558664
IONOSPHERE;ASGBRKGA;3;-0.0159955721076213;6598.65603016517;0.000256217272246862;97.0492307692308
JAIN;ASGBRKGA;4;0.203447730588009;182.188279008441;0.546616513522547;179.254021447721
NEW-THYROID;ASGBRKGA;2;0.668597309254464;23.5823622610701;0.106645130171634;198.457142857143
PATHBASED;ASGBRKGA;3;0.180017146730655;34.5958114114058;0.00470693563349593;241.7375
PIMA.INDIANS;ASGBRKGA;3;0.192674136657397;34.1788200763537;-0.0101364168171599;689.904761904762
R15;ASGBRKGA;6;0.384710933300516;185.856511506452;0.172110735314926;185.48
SEEDS;ASGBRKGA;2;0.441108038004482;224.129259327621;0.250627188074289;112.464285714286
SPIRAL;ASGBRKGA;3;0.164088813532991;73.146833360046;0.0473521249975552;195.3125
WDBC;ASGBRKGA;2;0.528389180205648;21373.7792422838;0.0122418448318612;539.571958601836
WINE;ASGBRKGA;3;0.162103041031575;39.87;0.316787265548707;67.6367041198502
YEAST;ASGBRKGA;2;0.361744265754743;25.6052762150633;-0.00195165273288331;1447.70050913447
